99CYNEW,,,,,,
99CYSEB,2.0L/2.4L-I4 (140/150hp),175,Vinyl seats,175,Manual trans,175
99CYTOW,Wheel covers,50,,,,
99DOAVE,2.0L-I4 (140hp),175,Manual trans,175,No air cond,175
99DOB15,3.9L (6cyl-175hp),175,,,,
99DOB25,,,,,,
99DOBR1,3.9L (6cyl-175hp),175,,,,
99DOBRS,,,,,,
99DOBVA,,,,,,
99DOCAR,2.4L (4cyl-150hp),175,Psgr slider only,175,,
99DODAK,2.5L (4cyl-120hp),175,,,,
99DODUR,3.9L (6cyl-175hp),175,,,,
99DOGRA,,,,,,
99DOINT,,,,,,
99DONEO,No air cond,175,Manual trans,175,,
99DOR50,,,,,,
99DORAM,3.9L (6cyl-175hp),175,,,,
99DOSTR,Manual trans,175,,,,
99DOVIP,No air cond,,,,,
99EATAL,No air cond,175,,,Manual trans,175
99EAVIS,,,,,,
99FOCLU,,,,,,
99FOCON,Manual trans (not SVT),175,No air cond,175,,
99FOCRO,,,,,,
99FOECO,6cyl,175,,,,
99FOESC,No air cond,175,Manual trans,175,Manual steering,100
99FOEXP,,,,,,
99FOEXT,,,,
99FOF15,6cyl (not S),175,,
99FOF25,,,,
99FOMUS,Man trans (6cyl only),175,,
99FOPRO,No air cond,175,Man trans (not GT),175
99FORAN,4cyl,175,,
99FOTAU,,,,
99FOTHU,,,,
99FOWIN,Psgr slider only,150,,
99GMC1S,,,,
99GMG15,6cyl,175,,
99GMG25,,,,
99GMJIM,,,,
99GMSAF,,,,
99GMSAV,,,,
99GMSON,4cyl,175,,
99GMSUB,,,,,,
99GMYUK,,,,,,
99HOACC,No air cond,175,Manual trans,175,,
99HOCIV,No air cond,175,Man trans (not HX),175,,
99HOCRV,,,,,,
99HOPAS,,,,,,
99HOPRE,Manual trans (Base),175,,,,
99HYACC,No air cond,175,,,Manual trans (not L),175
99HYELA,No air cond,175,Manual trans,175,,
99HYSON,Manual trans,175,,,,
99HYTIB,Manual trans,175,No Air Cond,175,,
99INI30,Manual trans,200,,,,
99INJ30,,,,,,
99INQ45,,,,,,
99ISAMI,,,,,,
99ISPIC,,,,,,
99ISROD,2.2L (4cyl-120hp),175,,
99ISTRO,,,,
99JAXJx,No CD,50,,
99JAXK8,No CD,50,,
99JECHE,2.5L (4cyl-125hp),175,,
99JEGRA,,,,
99JEWRA,,,,
99KISEP,No air conditioning,175,Manual steering,100
99KISPO,,,,
99LEES3,Cloth seats,175,,
99LEGSS,Cloth seats,175,,
99LELS4,No CD changer,150,,
99LERX3,,,,
99LESCx,Cloth seats,175,,
99LICON,,,,
99LIMAR,,,,
99LINAV,,,,,,
99LITOW,Cloth seats,175,,,,
99MA626,No air cond,175,Manual trans,175,,
99MAB25,,,,,,
99MAMIA,No air cond,175,,,,
99MAMPV,,,,,,
99MAMX6,No air cond,175,Manual trans,175,,
99MAPRO,No air cond,175,Manual trans,175,,
99MBC-C,Non adj. steering whl,50,Vinyl seats,50,,
99MBE-C,Cloth seats,175,,,No CD,50
99MBS-C,,,,,,
99MBSL-,No CD,150,,,,
99MBSLK,No CD,150,,,,
99MECOU,2.0L-4cyl,100,,,,
99MEGRA,,,,,,
99MEMOU,4.0L-V6 (200hp),175,,,,
99MEMYS,Manual trans,175,No air cond,175,,
99MESAB,,,,,,
99METRA,No air cond,175,Manual trans,175,,
99MI300,"Man trans (Base,SL)",175,,,,
99MIDIA,Wheel covers,50,Manual seat,50,No CD player,50
99MIECL,No air cond,175,,,Manual trans,175
99MIGAL,,,,,,
99MIMIG,,,,,,
99MIMIR,No air cond,175,,,Manual trans,175
99MIMON,,,,,,
99NI200,No air cond,175,Manual trans (not R),175,,
99NI240,No air cond,175,Manual trans,175,,
99NIALT,No air cond,175,Manual trans,200,,
99NIMAX,Manual trans,175,,,,
99NIPAT,,,,,,
99NIPIC,,,,,,
99NISEN,No air cond,175,,,Manual trans,175
99OLALE,2.4L-I4 (150hp),175,,,,
99OLAUR,,,,,,
99OLBRA,,,,,,
99OLCIE,,,,,,
99OLCUS,,,,,,
99OLCUT,,,,,,
99OLEIG,,,,,,
99OLREG,,,,,,
99OLSIL,,,,,,
99PLBRE,Manual Trans,175,,,,
99PLGRA,,,,,,
99PLNEE,No air cond,175,Manual trans,175,,
99PLVOY,4cyl,175,Psgr slider only,175,No ABS brakes,75
99POBON,,,,,,
99POFIR,Manual trans,175,,,,
99POGRA,Manual trans,175,,
99POGRP,3.1L V6 (160hp),100,,
99POMON,Psngr slider only,150,,
99POSUN,No air cond,175,Manual trans,175
99POTAM,Manual trans,175,,
99PR911,No CD,50,,
99PRBOX,No CD,50,,
99RA4WD,,,,
99SA9-3,,,,
99SA9-5,,,,
99SNSC1,No air cond,175,Manual trans,175
99SNSC2,No air cond,175,Manual trans,175
99SNSL1,No air cond,175,Manual trans,175
99SNSL2,No air cond,175,Manual trans,175
99SNSLx,No air cond,175,Manual trans,175
99SNSW1,No air cond,175,Manual trans,175
99SNSW2,No air cond,175,Manual trans,175,,,,
99SUIMP,No air cond,175,Manual trans,175,,,,
99SULEG,No air cond,175,Manual trans,175,,,,
99SUSVX,,,,,,,,
99SZEST,No air cond,175,,,,,,
99SZSAM,,,,,,,,
99SZSWI,No air cond,175,,,,,,
99SZVIT,1.6L/I4-97hp,50,,,,,,
99TO4RU,2.7L (4cyl-150hp),175,,,No ABS,100,,
99TOCAM,No air cond,200,Manual trans,175,No ABS brakes,75,,
99TOCEL,No air cond,175,Manual trans,175,,,Wheel covers,75
99TOCOR,No air cond,175,Manual steering,100,Manual trans,175,,
99TOCRE,,,,,,,,
99TOLAN,No 3rd seat,200,Std. wheels,150,,,,
